,SRWMD,,,,
LAKE_ID,Waterbody Name,County,Lat,Lon,"Type (L=Lake, S=Spring, R=River, C=Creek)"
,NORTH LAKE APSHAWA,LAKE,28.608141,-81.774424,L
,SOUTH LAKE APSHAWA,LAKE,28.601166,-81.775405,L
,LAKE ARGENTA,PUTNAM,29.440926,-81.528335,L
,LAKE ASHBY,VOLUSIA,28.930263,-81.093111,L
,BANANA LAKE,PUTNAM,29.464414,-81.591185,L
,LAKE BEAUCLAIR (Burrell Basin Lake),LAKE,28.773333,-81.662222,L
,LAKE BELL,PUTNAM,29.429415,-81.537016,L
,BIG LAKE,VOLUSIA,28.869241,-81.212616,L
,BIRD POND,PUTNAM,29.419415,-81.537574,L
,BLACK WATER CREEK @ SR 44,LAKE,28.874632,-81.489354,C
,BLUE CYPRESS WMA,INDIAN RIVER,27.671077,-80.610172,W
,BLUE POND,CLAY,29.874683,-82.025378,L
,BLUE SPRING,VOLUSIA,28.947377,-81.339554,S
,BOGGY MARSH,LAKE,28.390004,-81.701182,W
,BOWERS LAKE,MARION,29.049581,-81.957993,L
,LAKE BRANTLEY,SEMINOLE,28.692495,-81.4209,L
,LAKE BROOKLYN,CLAY,29.800796,-82.028988,L
,LAKE BROWARD,PUTNAM,29.512469,-81.592019,L
,LAKE BURKETT,ORANGE,28.61083,-81.267841,L
,LAKE BUTLER,VOLUSIA,28.870555,-81.188333,L
,LAKE CHARLES,MARION,29.231073,-81.906015,L
,CHERRY LAKE,LAKE,28.592251,-81.816564,L
,CLEAR LAKE,PUTNAM,29.42298,-81.554705,L
,LAKE COLBY,VOLUSIA,28.964429,-81.232279,L
,LAKE COMO,PUTNAM,29.471358,-81.582574,L
,COON POND,VOLUSIA,29.174483,-81.166737,W
,COW POND,VOLUSIA,29.345883,-81.491796,L
,COWPEN LAKE,PUTNAM,29.596836,-81.995825,L
,EAST CRYSTAL LAKE,SEMINOLE,28.768325,-81.313674,L
,LAKE CRYSTAL IDA BAKER,PUTNAM,29.488578,-81.611748,L
,DEEP LAKE,PUTNAM,29.48051,-81.606305,L
,DeLEON SPRINGS,VOLUSIA,29.134201,-81.362577,S
,LAKE DIAS,VOLUSIA,29.161368,-81.318116,L
,LAKE DISSTON,FLAGLER,29.29192,-81.391454,L
,LAKE DORA (Burrell Basin Lake),LAKE,28.788888,-81.693333,L
,LAKE DORR,LAKE,29.003038,-81.622294,L
,DREAM POND,PUTNAM,29.413582,-81.52146,L
,DRUDY LAKE,VOLUSIA,29.216921,-81.468956,L
,ECHO LAKE,PUTNAM,29.48162,-81.593734,L
,LAKE EMMA,LAKE,28.614274,-81.851824,L
,LAKE EMPORIA,VOLUSIA,29.19581,-81.471456,L
,LAKE ORIO,PUTNAM,29.448117,-81.564529,L
,PALM SPRINGS - ASSOC. W/ LITTLE WEKIVA RIVER,SEMINOLE,28.691107,-81.392566,S
,LAKE PAM,PUTNAM,29.456304,-81.595523,L
,LAKE PEARL,ORANGE,28.60472,-81.263952,L
,LAKE PIERSON,VOLUSIA,29.233587,-81.473401,L
,PINE ISLAND LAKE,LAKE,28.497499,-81.829797,L
,PREVATT LAKE,ORANGE,28.712117,-81.489902,L
,LAKE PRIOR,PUTNAM,29.479326,-81.573078,L
,LAKE PURDOM/INEZ,VOLUSIA,29.208032,-81.437844,L
,ROCK SPRINGS,ORANGE,28.755827,-81.499235,S
,LAKE SAND,PUTNAM,29.478775,-81.603914,L
,LOWRY LAKE,CLAY,29.848573,-82.007877,L
,SANLANDO SPRINGS - ASSOC. W/ LITTLE WEKIVA RIVER,SEMINOLE,28.688884,-81.395621,S
,SCOGGIN LAKE,VOLUSIA,29.184146,-81.172001,L
,SEMINOLE SPRINGS,LAKE,28.845823,-81.522569,S
,SHAW LAKE,VOLUSIA,29.234698,-81.444511,L
,SILVER LAKE,PUTNAM,29.445803,-81.572018,L
,SILVER GLEN SPRINGS,MARION,29.244697,-81.642575,S
,SILVER SPRINGS,MARION,29.215877,-82.052925,S
,SJR @ LAKE WASHINGTON,BREVARD,28.169566,-80.780413,R
,LAKE HELEN,VOLUSIA,28.984428,-81.229779,L
,LAKE HIRES,VOLUSIA,29.11998,-81.293948,L
,HOKEY LAKE,VOLUSIA,29.308029,-81.464512,L
