SpngReachID,Layer,Row,Column,SPElev01,SPElev09
4057,3,564,245,24.62,25.22
4058,3,564,246,26.15,26.85
4059,3,564,246,26.15,26.85
4060,3,564,253,31.37,32.25
5000,3,689,196,0,-0.15
5001,3,690,196,0,-0.15
5002,3,690,197,0,-0.15
5003,3,690,197,0,-0.15
5004,3,691,196,0,-0.15
5005,3,691,196,0,-0.15
5006,3,691,196,0,-0.15
5007,3,691,197,0,-0.15
5008,3,692,194,0,-0.15
5009,3,692,194,0,-0.15
5010,3,692,195,0,-0.15
5011,3,692,195,0,-0.15
5012,3,692,195,0,-0.15
5013,3,692,196,0,-0.15
5014,3,692,196,0,-0.15
5015,3,692,196,0,-0.15
5016,3,693,194,0,-0.15
5017,3,693,195,0,-0.15
5018,3,693,195,0,-0.15
6000,3,700,192,0.43,0.43
6001,3,700,194,1.6,1.65
7001,3,562,205,4.71,7.05
7002,3,645,409,0,0
